COMPANY,RPNA_DATE_UTC,TIMESTAMP_UTC,RP_ENTITY_ID,ENTITY_TYPE,NEWS_TYPE,RP_STORY_ID,AEV,RP_STORY_EVENT_INDEX,RP_STORY_EVENT_COUNT,PEQ,BEE,BMQ,BAM,BCA,BER,ANL_CHG,MCQ,RPNA_DATE_UTC,,
US/AMZN,4/1/2018,15:03.3,0157B1,COMP,PRESS-RELEASE,4E6358A9FF50F202CD5B4309512C4C18,45,5,7,100,50,50,50,50,50,50,50,4/1/2018,,
US/AMZN,5/1/2018,59:02.0,0157B1,COMP,PRESS-RELEASE,C89BAA2DBA13B6BA32985E301B2E5FF9,45,1,8,50,50,50,50,100,50,50,50,5/1/2018,,
US/AMZN,5/1/2018,01:24.1,0157B1,COMP,PRESS-RELEASE,C77BBB52F6B65E0C07A3F96805D56958,45,2,7,50,50,50,50,50,50,50,50,5/1/2018,,
US/AMZN,5/1/2018,00:05.5,0157B1,COMP,PRESS-RELEASE,1D9FC2C066C85A2F7240403E108F03AE,45,3,12,50,50,100,50,50,50,50,50,5/1/2018,,
US/AMZN,5/1/2018,25:37.5,0157B1,COMP,PRESS-RELEASE,3258FFC3BDC322E8F02CD72EA46E13BE,45,2,7,100,50,50,50,50,50,50,50,5/1/2018,,
US/AMZN,5/1/2018,23:59.4,0157B1,COMP,PRESS-RELEASE,FCBC891F5FD3EEBCA3B3F1E2AB62D4CF,45,2,5,50,50,50,50,50,50,50,50,5/1/2018,,
US/AMZN,5/1/2018,30:00.4,0157B1,COMP,PRESS-RELEASE,5079D1A546CDC96F01ACD7EED6A6B0D6,45,2,3,100,100,50,100,100,100,50,50,5/1/2018,,
US/AMZN,5/1/2018,00:06.0,0157B1,COMP,PRESS-RELEASE,998E83017715B6CB1C2F35BF2DBA7D69,45,4,9,100,100,100,100,100,50,50,50,5/1/2018,,
US/AMZN,5/1/2018,15:02.6,0157B1,COMP,PRESS-RELEASE,A56F133B73F452D4FFF26FFA56E94EE3,45,3,4,100,50,50,50,50,50,50,50,5/1/2018,,
US/AMZN,5/1/2018,00:26.8,0157B1,COMP,PRESS-RELEASE,73784878C707458741BC0108482C8DE0,45,2,7,100,50,50,50,50,50,50,50,5/1/2018,,
US/AMZN,5/1/2018,04:14.0,0157B1,COMP,PRESS-RELEASE,6D59F7F7B2CB2E55E7B8C58FC7265599,45,1,4,50,50,100,50,50,50,50,100,5/1/2018,,
US/AMZN,6/1/2018,26:21.6,0157B1,COMP,PRESS-RELEASE,3B5271936E72362AF8F722A5C2877378,45,1,1,50,50,100,50,50,100,50,50,6/1/2018,,
US/AMZN,8/1/2018,00:02.4,0157B1,COMP,PRESS-RELEASE,B3B2C56A5E79C7BD6AADD00D371FC971,45,4,7,100,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,18:45.0,0157B1,COMP,PRESS-RELEASE,66EA4AF101DB0B87BA3EB8D3B9A24F95,45,7,11,0,50,50,50,100,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,00:14.6,0157B1,COMP,PRESS-RELEASE,DAB21665981004AEFD903A48E6A90853,45,4,10,50,50,100,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,01:02.8,0157B1,COMP,PRESS-RELEASE,49729B3DB5BCDE169A333FD4E83700F1,45,2,5,50,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,01:02.9,0157B1,COMP,PRESS-RELEASE,344D8CD5082EDAF6B9C7A611F603E066,45,2,5,50,50,100,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,00:04.1,0157B1,COMP,PRESS-RELEASE,577787F3E25E5D31A724BF145CD76923,45,1,2,50,50,50,50,50,50,50,50,8/1/2018,,
